年份,正統年號,年號二,年號三,年號四
87,章和(漢章帝)1,,,
88,章和(漢章帝)2,,,
89,永元(漢和帝)1,,,
90,永元(漢和帝)2,,,
91,永元(漢和帝)3,,,
92,永元(漢和帝)4,,,
93,永元(漢和帝)5,,,
94,永元(漢和帝)6,,,
95,永元(漢和帝)7,,,
96,永元(漢和帝)8,,,
97,永元(漢和帝)9,,,
98,永元(漢和帝)10,,,
99,永元(漢和帝)11,,,
100,永元(漢和帝)12,,,
101,永元(漢和帝)13,,,
102,永元(漢和帝)14,,,
103,永元(漢和帝)15,,,
104,永元(漢和帝)16,,,
105,元興(漢和帝)1,,,
106,延平(漢殤帝)1,,,
107,永初(漢安帝)1,,,
108,永初(漢安帝)2,,,
109,永初(漢安帝)3,,,
110,永初(漢安帝)4,,,
111,永初(漢安帝)5,,,
112,永初(漢安帝)6,,,
113,永初(漢安帝)7,,,
114,元初(漢安帝)1,,,
115,元初(漢安帝)2,,,
116,元初(漢安帝)3,,,
117,元初(漢安帝)4,,,
118,元初(漢安帝)5,,,
119,元初(漢安帝)6,,,
120,永寧(漢安帝)1,,,
121,建光(漢安帝)1,,,
122,延光(漢安帝)1,,,
123,延光(漢安帝)2,,,
124,延光(漢安帝)3,,,
125,延光(漢安帝)4,,,
126,永建(漢順帝)1,,,
127,永建(漢順帝)2,,,
128,永建(漢順帝)3,,,
129,永建(漢順帝)4,,,
130,永建(漢順帝)5,,,
131,永建(漢順帝)6,,,
132,陽嘉(漢順帝)1,,,
133,陽嘉(漢順帝)2,,,
134,陽嘉(漢順帝)3,,,
135,陽嘉(漢順帝)4,,,
136,永和(漢順帝)1,,,
137,永和(漢順帝)2,,,
138,永和(漢順帝)3,,,
139,永和(漢順帝)4,,,
140,永和(漢順帝)5,,,
141,永和(漢順帝)6,,,
142,漢安(漢順帝)1,,,
143,漢安(漢順帝)2,,,
144,建康(漢順帝)1,,,
145,永嘉(漢沖帝)1,,,
146,本初(漢質帝)1,,,
147,建和(漢桓帝)1,,,
148,建和(漢桓帝)2,,,
149,建和(漢桓帝)3,,,
150,和平(漢桓帝)1,,,
151,元嘉(漢桓帝)1,,,
152,元嘉(漢桓帝)2,,,
