索引號,干支,朝代變更,年號變更,重大事件,曹魏,蜀漢,孫吳,晉,南朝宋,南朝齊,南朝梁,南朝陳,臨朝稱制(實控)
361,58,,,,,,,晉穆帝18,,,,,
362,59,,隆和,,,,,晉哀帝2,,,,,
363,60,,興寧,,,,,晉哀帝3,,,,,
364,1,,,,,,,晉哀帝4,,,,,
365,2,,,,,,,晉哀帝5,,,,,
366,3,,太和,,,,,晉廢帝2,,,,,
367,4,,,,,,,晉廢帝3,,,,,
368,5,,,,,,,晉廢帝4,,,,,
369,6,,,,,,,晉廢帝5,,,,,
370,7,,,,,,,晉廢帝6,,,,,
371,8,,咸安,,,,,晉廢帝7,,,,,
372,9,,,,,,,晉簡文帝2,,,,,
373,10,,寧康,,,,,晉孝武帝2,,,,,
374,11,,,,,,,晉孝武帝3,,,,,
375,12,,,,,,,晉孝武帝4,,,,,
376,13,,太元,,,,,晉孝武帝5,,,,,
377,14,,,,,,,晉孝武帝6,,,,,
378,15,,,,,,,晉孝武帝7,,,,,
379,16,,,,,,,晉孝武帝8,,,,,
380,17,,,,,,,晉孝武帝9,,,,,
381,18,,,,,,,晉孝武帝10,,,,,
382,19,,,,,,,晉孝武帝11,,,,,
383,20,,,,,,,晉孝武帝12,,,,,
384,21,,,,,,,晉孝武帝13,,,,,
385,22,,,,,,,晉孝武帝14,,,,,
386,23,,,,,,,晉孝武帝15,,,,,
387,24,,,,,,,晉孝武帝16,,,,,
388,25,,,,,,,晉孝武帝17,,,,,
389,26,,,,,,,晉孝武帝18,,,,,
390,27,,,,,,,晉孝武帝19,,,,,
391,28,,,,,,,晉孝武帝20,,,,,
392,29,,,,,,,晉孝武帝21,,,,,
393,30,,,,,,,晉孝武帝22,,,,,
394,31,,,,,,,晉孝武帝23,,,,,
395,32,,,,,,,晉孝武帝24,,,,,
396,33,,,,,,,晉孝武帝25,,,,,
397,34,,隆安,,,,,晉安帝2,,,,,
398,35,,,,,,,晉安帝3,,,,,
399,36,,,,,,,晉安帝4,,,,,
400,37,,,,,,,晉安帝5,,,,,
401,38,,,,,,,晉安帝6,,,,,
402,39,,元興|大亨|元興,,,,,晉安帝7,,,,,
403,40,,,,,,,晉安帝8,,,,,
404,41,,,,,,,晉安帝9,,,,,
405,42,,義熙,,,,,晉安帝10,,,,,
406,43,,,,,,,晉安帝11,,,,,
407,44,,,,,,,晉安帝12,,,,,
408,45,,,,,,,晉安帝13,,,,,
409,46,,,,,,,晉安帝14,,,,,
410,47,,,,,,,晉安帝15,,,,,
411,48,,,,,,,晉安帝16,,,,,
412,49,,,,,,,晉安帝17,,,,,
413,50,,,,,,,晉安帝18,,,,,
414,51,,,,,,,晉安帝19,,,,,
415,52,,,,,,,晉安帝20,,,,,
416,53,,,,,,,晉安帝21,,,,,
417,54,,,,,,,晉安帝22,,,,,
418,55,,,,,,,晉安帝23,,,,,
419,56,,,,,,,晉安帝24,,,,,
420,57,南朝宋,永初,,,,,,宋武帝1,,,,
421,58,,,,,,,,宋武帝2,,,,
422,59,,,,,,,,宋武帝3,,,,
423,60,,景平,,,,,,劉義符2,,,,
424,1,,元嘉,,,,,,劉義符3,,,,
425,2,,,,,,,,宋文帝2,,,,
426,3,,,,,,,,宋文帝3,,,,
427,4,,,,,,,,宋文帝4,,,,
428,5,,,,,,,,宋文帝5,,,,
429,6,,,,,,,,宋文帝6,,,,
430,7,,,,,,,,宋文帝7,,,,
431,8,,,,,,,,宋文帝8,,,,
432,9,,,,,,,,宋文帝9,,,,
433,10,,,,,,,,宋文帝10,,,,
434,11,,,,,,,,宋文帝11,,,,
435,12,,,,,,,,宋文帝12,,,,
436,13,,,,,,,,宋文帝13,,,,
437,14,,,,,,,,宋文帝14,,,,
438,15,,,,,,,,宋文帝15,,,,
439,16,,,,,,,,宋文帝16,,,,
440,17,,,,,,,,宋文帝17,,,,
441,18,,,,,,,,宋文帝18,,,,
442,19,,,,,,,,宋文帝19,,,,
443,20,,,,,,,,宋文帝20,,,,
444,21,,,,,,,,宋文帝21,,,,
445,22,,,,,,,,宋文帝22,,,,
446,23,,,,,,,,宋文帝23,,,,
447,24,,,,,,,,宋文帝24,,,,
448,25,,,,,,,,宋文帝25,,,,
449,26,,,,,,,,宋文帝26,,,,
450,27,,,,,,,,宋文帝27,,,,
451,28,,,,,,,,宋文帝28,,,,
452,29,,,,,,,,宋文帝29,,,,
453,30,,太初,,,,,,宋文帝30|劉劭1,,,,
454,31,,孝建,,,,,,宋孝武帝2,,,,
455,32,,,,,,,,宋孝武帝3,,,,
456,33,,,,,,,,宋孝武帝4,,,,
457,34,,大明,,,,,,宋孝武帝5,,,,
458,35,,,,,,,,宋孝武帝6,,,,
459,36,,,,,,,,宋孝武帝7,,,,
460,37,,,,,,,,宋孝武帝8,,,,
461,38,,,,,,,,宋孝武帝9,,,,
462,39,,,,,,,,宋孝武帝10,,,,
